127.0.0.1 - - [19/Jul/2014:11:44:19 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:44:27 -0500] "GET /sdsr/LoginRegistro.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:44:27 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:44:27 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/LoginRegistro.jsp HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/css/estilos.css HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/cufon-replace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/Forum_400.font.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/tms-0.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/jquery-1.6.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/tms_presets.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/js/atooltip.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/images/bg_bot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/images/bg_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/images/box_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/images/box_top2.png HTTP/1.1" 200 9461
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:24 -0500] "GET /sdsr/images/restaurant.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:25 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:45:25 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:50:19 -0500] "GET /sdsr/LoginRegistro.jsp HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:50:19 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:50:19 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:51:14 -0500] "GET /sdsr/LoginRegistro.jsp HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:51:15 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [19/Jul/2014:11:51:15 -0500] "GET /favicon.ico HTTP/1.1" 404 983
