0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /sdsr/images/icon_3.gif HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:30 -0500] "GET /sdsr/ HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:31 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:31 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/Cabecera.jsp HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/css/reset.css HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/css/style.css HTTP/1.1" 200 9059
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/css/layout.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/js/cufon-replace.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/js/atooltip.jquery.js HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:42 -0500] "GET /sdsr/js/Forum_400.font.js HTTP/1.1" 200 56448
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/js/cufon-yui.js HTTP/1.1" 200 18258
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/js/jquery-1.6.js HTTP/1.1" 200 91358
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/images/icon_2.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/images/icon_1.gif HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/images/icon_3.gif HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/images/bg_bot.jpg HTTP/1.1" 404 1005
